,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
192,35,Yes,Travel_Rarely,556,Research & Development,23,College,Life Sciences,1,261,Medium,Male,50,Medium,2,Manufacturing Director,High,Married,5916,15497,3,Y,Yes,13,Excellent,Low,80,0,8,1,Better,1,0,0,1
195,37,No,Travel_Rarely,290,Research & Development,21,Bachelor,Life Sciences,1,267,Medium,Male,65,Very High,1,Research Scientist,Low,Married,3564,22977,1,Y,Yes,12,Excellent,Low,80,1,8,3,Good,8,7,1,7
199,38,No,Travel_Rarely,1084,Research & Development,29,Bachelor,Technical Degree,1,273,Very High,Male,54,High,2,Manufacturing Director,Very High,Married,6261,4185,3,Y,No,18,Excellent,Low,80,1,9,3,Bad,7,7,1,7
200,27,No,Travel_Frequently,472,Research & Development,1,Below College,Technical Degree,1,274,High,Male,60,Medium,2,Manufacturing Director,Low,Married,4298,9679,5,Y,No,19,Excellent,High,80,1,6,1,Better,2,2,2,0
202,34,No,Travel_Frequently,878,Research & Development,10,Master,Medical,1,277,Very High,Male,43,High,1,Research Scientist,High,Divorced,3815,5972,1,Y,Yes,17,Excellent,Very High,80,1,5,4,Best,5,3,2,0
203,40,No,Travel_Rarely,905,Research & Development,19,College,Medical,1,281,High,Male,99,High,2,Laboratory Technician,Very High,Married,2741,16523,8,Y,Yes,15,Excellent,High,80,1,15,2,Best,7,2,3,7
204,38,Yes,Travel_Rarely,1180,Research & Development,29,Below College,Medical,1,282,Medium,Male,70,High,2,Healthcare Representative,Low,Married,6673,11354,7,Y,Yes,19,Excellent,Medium,80,0,17,2,Better,1,0,0,0
206,22,No,Travel_Rarely,1136,Research & Development,5,Bachelor,Life Sciences,1,284,Very High,Male,60,Very High,1,Research Scientist,Medium,Divorced,2328,12392,1,Y,Yes,16,Excellent,Low,80,1,4,2,Good,4,2,2,2
207,36,No,Travel_Frequently,635,Research & Development,18,Below College,Medical,1,286,Medium,Female,73,High,1,Laboratory Technician,Very High,Single,2153,7703,1,Y,No,13,Excellent,Low,80,0,8,2,Better,8,1,1,7
209,46,No,Travel_Rarely,644,Research & Development,1,Master,Medical,1,288,Very High,Male,97,High,3,Healthcare Representative,Low,Divorced,9396,12368,7,Y,No,16,Excellent,High,80,1,17,3,Better,4,2,0,3
210,32,Yes,Travel_Rarely,1045,Sales,4,Master,Medical,1,291,Very High,Male,32,Low,3,Sales Executive,Very High,Married,10400,25812,1,Y,No,11,Excellent,High,80,0,14,2,Good,14,8,9,8
211,30,No,Non-Travel,829,Research & Development,1,Below College,Life Sciences,1,292,High,Male,88,Medium,3,Manufacturing Director,High,Single,8474,20925,1,Y,No,22,Outstanding,High,80,0,12,2,Better,11,8,5,8
212,27,No,Travel_Frequently,1242,Sales,20,Bachelor,Life Sciences,1,293,Very High,Female,90,High,2,Sales Executive,High,Single,9981,12916,1,Y,No,14,Excellent,Very High,80,0,7,2,Better,7,7,0,7
217,29,Yes,Travel_Rarely,992,Research & Development,1,Bachelor,Technical Degree,1,300,High,Male,85,High,1,Research Scientist,High,Single,2058,19757,0,Y,No,14,Excellent,Very High,80,0,7,1,Good,6,2,1,5
219,54,No,Travel_Rarely,1147,Sales,3,Bachelor,Marketing,1,303,Very High,Female,52,High,2,Sales Executive,Low,Married,5940,17011,2,Y,No,14,Excellent,Very High,80,1,16,4,Better,6,2,0,5
220,36,No,Travel_Rarely,1396,Research & Development,5,College,Life Sciences,1,304,Very High,Male,62,High,2,Laboratory Technician,Medium,Single,5914,9945,8,Y,No,16,Excellent,Very High,80,0,16,3,Best,13,11,3,7
221,33,No,Travel_Rarely,147,Research & Development,4,Master,Medical,1,305,High,Female,47,Medium,1,Research Scientist,Medium,Married,2622,13248,6,Y,No,21,Outstanding,Very High,80,0,7,3,Better,3,2,1,1
224,31,No,Non-Travel,979,Research & Development,1,Master,Medical,1,308,High,Male,90,Low,2,Manufacturing Director,High,Married,4345,4381,0,Y,No,12,Excellent,Very High,80,1,6,2,Better,5,4,1,4
226,37,No,Travel_Frequently,319,Sales,4,Master,Marketing,1,311,Low,Male,41,High,1,Sales Representative,Very High,Divorced,2793,2539,4,Y,No,17,Excellent,High,80,1,13,2,Better,9,8,5,8
228,35,No,Travel_Frequently,944,Sales,1,Bachelor,Marketing,1,314,High,Female,92,High,3,Sales Executive,High,Single,8789,9096,1,Y,No,14,Excellent,Low,80,0,10,3,Best,10,7,0,8
229,29,Yes,Travel_Rarely,896,Research & Development,18,Below College,Medical,1,315,High,Male,86,Medium,1,Research Scientist,Very High,Single,2389,14961,1,Y,Yes,13,Excellent,High,80,0,4,3,Good,4,3,0,1
230,52,No,Travel_Rarely,1323,Research & Development,2,Bachelor,Life Sciences,1,316,High,Female,89,Medium,1,Laboratory Technician,Very High,Single,3212,3300,7,Y,No,15,Excellent,Medium,80,0,6,3,Good,2,2,2,2
232,59,No,Travel_Rarely,818,Human Resources,6,College,Medical,1,321,Medium,Male,52,High,1,Human Resources,High,Married,2267,25657,8,Y,No,17,Excellent,Very High,80,0,7,2,Good,2,2,2,2
234,33,Yes,Travel_Rarely,813,Research & Development,14,Bachelor,Medical,1,325,High,Male,58,High,1,Laboratory Technician,Very High,Married,2436,22149,5,Y,Yes,13,Excellent,High,80,1,8,2,Bad,5,4,0,4
236,33,Yes,Travel_Rarely,465,Research & Development,2,College,Life Sciences,1,328,Low,Female,39,High,1,Laboratory Technician,Low,Married,2707,21509,7,Y,No,20,Outstanding,Low,80,0,13,3,Best,9,7,1,7
239,32,Yes,Travel_Rarely,515,Research & Development,1,Bachelor,Life Sciences,1,331,Very High,Male,62,Medium,1,Laboratory Technician,High,Single,3730,9571,0,Y,Yes,14,Excellent,Very High,80,0,4,2,Bad,3,2,1,2
241,32,No,Non-Travel,976,Sales,26,Master,Marketing,1,333,High,Male,100,High,2,Sales Executive,Very High,Married,4465,12069,0,Y,No,18,Excellent,Low,80,0,4,2,Better,3,2,2,2
242,41,No,Travel_Rarely,1411,Research & Development,19,College,Life Sciences,1,334,High,Male,36,High,2,Research Scientist,Low,Divorced,3072,19877,2,Y,No,16,Excellent,Low,80,2,17,2,Good,1,0,0,0
243,40,No,Travel_Rarely,1300,Research & Development,24,College,Technical Degree,1,335,Low,Male,62,High,2,Research Scientist,Very High,Divorced,3319,24447,1,Y,No,17,Excellent,Low,80,2,9,3,Better,9,8,4,7
246,33,No,Travel_Rarely,832,Research & Development,5,Master,Life Sciences,1,338,High,Female,63,Medium,1,Research Scientist,Very High,Married,2911,14776,1,Y,No,13,Excellent,High,80,1,2,2,Good,2,2,0,2
247,34,No,Travel_Rarely,470,Research & Development,2,Master,Life Sciences,1,339,Very High,Male,84,Medium,2,Manufacturing Director,Low,Married,5957,23687,6,Y,No,13,Excellent,Medium,80,1,13,3,Better,11,9,5,9
248,37,No,Travel_Rarely,1017,Research & Development,1,College,Medical,1,340,High,Female,83,Medium,1,Research Scientist,Low,Married,3920,18697,2,Y,No,14,Excellent,Low,80,1,17,2,Good,3,1,0,2
249,45,No,Travel_Frequently,1199,Research & Development,7,Master,Life Sciences,1,341,Low,Male,77,Very High,2,Manufacturing Director,High,Married,6434,5118,4,Y,No,17,Excellent,Very High,80,1,9,1,Better,3,2,0,2
252,29,No,Travel_Rarely,665,Research & Development,15,Bachelor,Life Sciences,1,346,High,Male,60,High,1,Research Scientist,Very High,Single,2340,22673,1,Y,No,19,Excellent,Low,80,0,6,1,Better,6,5,1,5
253,42,No,Travel_Rarely,916,Research & Development,17,College,Life Sciences,1,347,Very High,Female,82,Very High,2,Research Scientist,Low,Single,6545,23016,3,Y,Yes,13,Excellent,High,80,0,10,1,Better,3,2,0,2
254,29,No,Travel_Rarely,1247,Sales,20,College,Marketing,1,349,Very High,Male,45,High,2,Sales Executive,Very High,Divorced,6931,10732,2,Y,No,14,Excellent,Very High,80,1,10,2,Better,3,2,0,2
255,25,No,Travel_Rarely,685,Research & Development,1,Bachelor,Life Sciences,1,350,Low,Female,62,High,2,Manufacturing Director,High,Married,4898,7505,0,Y,No,12,Excellent,Very High,80,2,5,3,Better,4,2,1,2
256,42,No,Travel_Rarely,269,Research & Development,2,Bachelor,Medical,1,351,Very High,Female,56,Medium,1,Laboratory Technician,Low,Divorced,2593,8007,0,Y,Yes,11,Excellent,High,80,1,10,4,Better,9,6,7,8
259,31,Yes,Travel_Frequently,307,Research & Development,29,College,Medical,1,355,High,Male,71,Medium,1,Laboratory Technician,Medium,Single,3479,11652,0,Y,No,11,Excellent,Medium,80,0,6,2,Best,5,4,1,4
260,32,No,Travel_Frequently,1311,Research & Development,7,Bachelor,Life Sciences,1,359,Medium,Male,100,Very High,1,Laboratory Technician,Medium,Married,2794,26062,1,Y,No,20,Outstanding,High,80,0,5,3,Bad,5,1,0,3
265,29,No,Travel_Rarely,1210,Sales,2,Bachelor,Medical,1,366,Low,Male,78,Medium,2,Sales Executive,Medium,Married,6644,3687,2,Y,No,19,Excellent,Medium,80,2,10,2,Better,0,0,0,0
266,31,No,Travel_Rarely,1463,Research & Development,23,Bachelor,Medical,1,367,Medium,Male,64,Medium,2,Healthcare Representative,Very High,Married,5582,14408,0,Y,No,21,Outstanding,Medium,80,1,10,2,Better,9,0,7,8
267,25,No,Non-Travel,675,Research & Development,5,College,Life Sciences,1,369,Medium,Male,85,Very High,2,Healthcare Representative,Low,Divorced,4000,18384,1,Y,No,12,Excellent,Very High,80,2,6,2,Better,6,3,1,5
269,36,No,Travel_Rarely,1403,Research & Development,6,Bachelor,Life Sciences,1,373,Very High,Male,47,High,1,Laboratory Technician,Very High,Married,3210,20251,0,Y,No,11,Excellent,High,80,1,16,4,Better,15,13,10,11
272,28,No,Travel_Rarely,1158,Research & Development,9,Bachelor,Medical,1,377,Very High,Male,94,High,1,Research Scientist,Very High,Married,2070,2613,1,Y,No,23,Outstanding,Very High,80,1,5,3,Good,5,2,0,4
274,21,No,Travel_Rarely,996,Research & Development,3,College,Medical,1,379,Very High,Male,100,Medium,1,Research Scientist,High,Single,3230,10531,1,Y,No,17,Excellent,Low,80,0,3,4,Best,3,2,1,0
277,38,No,Travel_Rarely,322,Sales,7,College,Medical,1,382,Low,Female,44,Very High,2,Sales Executive,Low,Divorced,5605,19191,1,Y,Yes,24,Outstanding,High,80,1,8,3,Better,8,0,7,7
281,42,No,Travel_Rarely,635,Sales,1,Below College,Life Sciences,1,387,Medium,Male,99,High,2,Sales Executive,High,Married,4907,24532,1,Y,No,25,Outstanding,High,80,0,20,3,Better,20,16,11,6
282,29,No,Travel_Frequently,442,Sales,2,College,Life Sciences,1,388,Medium,Male,44,High,2,Sales Executive,Very High,Single,4554,20260,1,Y,No,18,Excellent,Low,80,0,10,3,Good,10,7,0,9
283,55,No,Travel_Rarely,147,Research & Development,20,College,Technical Degree,1,389,Medium,Male,37,High,2,Laboratory Technician,Very High,Married,5415,15972,3,Y,Yes,19,Excellent,Very High,80,1,12,4,Better,10,7,0,8
284,26,No,Travel_Frequently,496,Research & Development,11,College,Medical,1,390,Low,Male,60,High,2,Healthcare Representative,Low,Married,4741,22722,1,Y,Yes,13,Excellent,High,80,1,5,3,Better,5,3,3,3
285,37,No,Travel_Rarely,1372,Research & Development,1,Bachelor,Life Sciences,1,391,Very High,Female,42,High,1,Research Scientist,Very High,Single,2115,15881,1,Y,No,12,Excellent,Medium,80,0,17,3,Better,17,12,5,7
288,26,Yes,Travel_Rarely,1449,Research & Development,16,Master,Medical,1,394,Low,Male,45,High,1,Laboratory Technician,Medium,Divorced,2373,14180,2,Y,Yes,13,Excellent,Very High,80,1,5,2,Better,3,2,0,2
289,28,No,Travel_Rarely,1117,Research & Development,8,College,Life Sciences,1,395,Very High,Female,66,High,1,Research Scientist,Very High,Single,3310,4488,1,Y,No,21,Outstanding,Very High,80,0,5,3,Better,5,3,0,2
291,36,No,Travel_Rarely,506,Research & Development,3,Bachelor,Technical Degree,1,397,High,Male,30,High,2,Research Scientist,Medium,Single,4485,26285,4,Y,No,12,Excellent,Very High,80,0,10,2,Better,8,0,7,7
296,18,Yes,Travel_Rarely,230,Research & Development,3,Bachelor,Life Sciences,1,405,High,Male,54,High,1,Laboratory Technician,High,Single,1420,25233,1,Y,No,13,Excellent,High,80,0,0,2,Better,0,0,0,0
297,35,No,Travel_Rarely,1232,Sales,16,Bachelor,Marketing,1,406,High,Male,96,High,3,Sales Executive,Medium,Married,8020,5100,0,Y,No,15,Excellent,High,80,2,12,3,Good,11,9,6,9
298,36,No,Travel_Frequently,566,Research & Development,18,Master,Life Sciences,1,407,High,Male,81,Very High,1,Laboratory Technician,Very High,Married,3688,7122,4,Y,No,18,Excellent,Very High,80,2,4,2,Better,1,0,0,0
299,51,No,Travel_Rarely,1302,Research & Development,2,Bachelor,Medical,1,408,Very High,Male,84,Low,2,Manufacturing Director,Medium,Divorced,5482,16321,5,Y,No,18,Excellent,Very High,80,1,13,3,Better,4,1,1,2
301,18,No,Travel_Rarely,812,Sales,10,Bachelor,Medical,1,411,Very High,Female,69,Medium,1,Sales Representative,High,Single,1200,9724,1,Y,No,12,Excellent,Low,80,0,0,2,Better,0,0,0,0
302,28,No,Travel_Rarely,1476,Research & Development,16,College,Medical,1,412,Medium,Male,68,Very High,2,Healthcare Representative,Low,Single,5661,4824,0,Y,No,19,Excellent,High,80,0,9,2,Better,8,3,0,7
303,31,No,Travel_Rarely,218,Sales,7,Bachelor,Technical Degree,1,416,Medium,Male,100,Very High,2,Sales Executive,Very High,Married,6929,12241,4,Y,No,11,Excellent,Medium,80,1,10,3,Good,8,7,7,7
305,36,No,Non-Travel,1105,Research & Development,24,Master,Life Sciences,1,419,Medium,Female,47,High,2,Laboratory Technician,Medium,Married,5674,6927,7,Y,No,15,Excellent,High,80,1,11,3,Better,9,8,0,8
306,32,No,Travel_Rarely,906,Sales,7,Bachelor,Life Sciences,1,420,Very High,Male,91,Medium,2,Sales Executive,High,Married,5484,16985,1,Y,No,14,Excellent,High,80,1,13,3,Good,13,8,4,8
308,58,No,Non-Travel,390,Research & Development,1,Master,Life Sciences,1,422,Very High,Male,32,Low,2,Healthcare Representative,High,Divorced,5660,17056,2,Y,Yes,13,Excellent,Very High,80,1,12,2,Better,5,3,1,2
309,31,No,Travel_Rarely,691,Research & Development,5,Master,Technical Degree,1,423,High,Male,86,High,1,Research Scientist,Very High,Married,4821,10077,0,Y,Yes,12,Excellent,High,80,1,6,4,Better,5,2,0,3
310,31,No,Travel_Rarely,106,Human Resources,2,Bachelor,Human Resources,1,424,Low,Male,62,Medium,2,Human Resources,Low,Married,6410,17822,3,Y,No,12,Excellent,Very High,80,0,9,1,Better,2,2,1,0
312,31,No,Travel_Rarely,192,Research & Development,2,Master,Life Sciences,1,426,High,Male,32,High,1,Research Scientist,Very High,Divorced,2695,7747,0,Y,Yes,18,Excellent,Medium,80,1,3,2,Bad,2,2,2,2
317,52,Yes,Travel_Rarely,723,Research & Development,8,Master,Medical,1,433,High,Male,85,Medium,2,Research Scientist,Medium,Married,4941,17747,2,Y,No,15,Excellent,Low,80,0,11,3,Good,8,2,7,7
318,27,No,Travel_Rarely,1220,Research & Development,5,Bachelor,Life Sciences,1,434,High,Female,85,High,1,Research Scientist,Medium,Single,2478,20938,1,Y,Yes,12,Excellent,Medium,80,0,4,2,Good,4,3,1,2
319,32,No,Travel_Rarely,588,Sales,8,College,Technical Degree,1,436,High,Female,65,Medium,2,Sales Executive,Medium,Married,5228,24624,1,Y,Yes,11,Excellent,Very High,80,0,13,2,Better,13,12,11,9
320,27,No,Travel_Rarely,1377,Sales,2,Bachelor,Life Sciences,1,437,Very High,Male,74,High,2,Sales Executive,High,Single,4478,5242,1,Y,Yes,11,Excellent,Low,80,0,5,3,Better,5,4,0,4
323,28,Yes,Travel_Rarely,1157,Research & Development,2,Master,Medical,1,440,Low,Male,84,Low,1,Research Scientist,Very High,Married,3464,24737,5,Y,Yes,13,Excellent,Very High,80,0,5,4,Good,3,2,2,2
324,30,No,Travel_Rarely,1275,Research & Development,28,College,Medical,1,441,Very High,Female,64,High,2,Research Scientist,Very High,Married,5775,11934,1,Y,No,13,Excellent,Very High,80,2,11,2,Better,10,8,1,9
325,31,No,Travel_Frequently,798,Research & Development,7,College,Life Sciences,1,442,High,Female,48,Medium,3,Manufacturing Director,High,Married,8943,14034,1,Y,No,24,Outstanding,Low,80,1,10,2,Better,10,9,8,9
327,39,Yes,Travel_Rarely,1162,Sales,3,College,Medical,1,445,Very High,Female,41,High,2,Sales Executive,High,Married,5238,17778,4,Y,Yes,18,Excellent,Low,80,0,12,3,Good,1,0,0,0
330,43,No,Travel_Frequently,559,Research & Development,10,Master,Life Sciences,1,448,High,Female,82,Medium,2,Laboratory Technician,High,Divorced,5257,6227,1,Y,No,11,Excellent,Medium,80,1,9,3,Best,9,7,0,0
332,54,No,Travel_Frequently,928,Research & Development,20,Master,Life Sciences,1,450,Very High,Female,31,High,2,Research Scientist,High,Single,4869,16885,3,Y,No,12,Excellent,Very High,80,0,20,4,Good,4,3,0,3
333,43,No,Travel_Rarely,1001,Research & Development,7,Bachelor,Life Sciences,1,451,High,Female,43,High,3,Healthcare Representative,Low,Married,9985,9262,8,Y,No,16,Excellent,Low,80,1,10,1,Good,1,0,0,0
336,29,Yes,Travel_Rarely,318,Research & Development,8,Master,Other,1,454,Medium,Male,77,Low,1,Laboratory Technician,Low,Married,2119,4759,1,Y,Yes,11,Excellent,Very High,80,0,7,4,Good,7,7,0,7
337,29,No,Travel_Rarely,738,Research & Development,9,Doctor,Other,1,455,Medium,Male,30,Medium,1,Laboratory Technician,Very High,Single,3983,7621,0,Y,No,17,Excellent,High,80,0,4,2,Better,3,2,2,2
339,27,No,Travel_Rarely,1130,Sales,8,Master,Marketing,1,458,Medium,Female,56,High,2,Sales Executive,Medium,Married,6214,3415,1,Y,No,18,Excellent,Low,80,1,8,3,Better,8,7,0,7
340,37,No,Travel_Rarely,1192,Research & Development,5,College,Medical,1,460,Very High,Male,61,High,2,Manufacturing Director,Very High,Divorced,6347,23177,7,Y,No,16,Excellent,High,80,2,8,2,Good,6,2,0,4
342,31,No,Travel_Rarely,1232,Research & Development,7,Master,Medical,1,462,High,Female,39,High,3,Manufacturing Director,Very High,Single,7143,25713,1,Y,Yes,14,Excellent,High,80,0,11,2,Good,11,9,4,10
343,29,No,Travel_Rarely,144,Sales,10,Below College,Marketing,1,463,Very High,Female,39,Medium,2,Sales Executive,Medium,Divorced,8268,11866,1,Y,Yes,14,Excellent,Low,80,2,7,2,Better,7,7,1,7
345,23,No,Travel_Rarely,1309,Research & Development,26,Below College,Life Sciences,1,465,High,Male,83,High,1,Research Scientist,Very High,Divorced,2904,16092,1,Y,No,12,Excellent,High,80,2,4,2,Good,4,2,0,2
346,41,No,Travel_Rarely,483,Research & Development,6,Bachelor,Medical,1,466,Very High,Male,95,Medium,2,Manufacturing Director,Medium,Single,6032,10110,6,Y,Yes,15,Excellent,Very High,80,0,8,3,Better,5,4,1,2
347,47,No,Travel_Frequently,1309,Sales,4,Below College,Medical,1,467,Medium,Male,99,High,2,Sales Representative,High,Single,2976,25751,3,Y,No,19,Excellent,Low,80,0,5,3,Better,0,0,0,0
349,29,No,Non-Travel,746,Sales,2,Bachelor,Life Sciences,1,469,Very High,Male,61,High,2,Sales Executive,High,Married,4649,16928,1,Y,No,14,Excellent,Low,80,1,4,3,Good,4,3,0,2
351,32,No,Travel_Rarely,1062,Research & Development,2,Bachelor,Medical,1,471,High,Female,75,High,1,Laboratory Technician,Medium,Married,2370,3956,1,Y,No,13,Excellent,High,80,1,8,4,Better,8,0,0,7
353,37,No,Travel_Rarely,1319,Research & Development,6,Bachelor,Medical,1,474,High,Male,51,Very High,2,Research Scientist,Low,Divorced,5974,17001,4,Y,Yes,13,Excellent,Low,80,2,13,2,Better,7,7,6,7
354,30,No,Non-Travel,641,Sales,25,College,Technical Degree,1,475,Very High,Female,85,High,2,Sales Executive,High,Married,4736,6069,7,Y,Yes,12,Excellent,Medium,80,1,4,2,Best,2,2,2,2
355,26,No,Travel_Rarely,933,Sales,1,Bachelor,Life Sciences,1,476,High,Male,57,High,2,Sales Executive,High,Married,5296,20156,1,Y,No,17,Excellent,Medium,80,1,8,3,Better,8,7,7,7
357,21,Yes,Travel_Frequently,756,Sales,1,Below College,Technical Degree,1,478,Low,Female,99,Medium,1,Sales Representative,Medium,Single,2174,9150,1,Y,Yes,11,Excellent,High,80,0,3,3,Better,3,2,1,2
359,36,No,Travel_Frequently,541,Sales,3,Master,Medical,1,481,Low,Male,48,Medium,3,Sales Executive,Very High,Married,9699,7246,4,Y,No,11,Excellent,Low,80,1,16,2,Better,13,9,1,12
360,57,No,Travel_Rarely,593,Research & Development,1,Master,Medical,1,482,Very High,Male,88,High,2,Healthcare Representative,High,Married,6755,2967,2,Y,No,11,Excellent,High,80,0,15,2,Better,3,2,1,2
361,40,No,Travel_Rarely,1171,Research & Development,10,Master,Life Sciences,1,483,Very High,Female,46,Very High,1,Laboratory Technician,High,Married,2213,22495,3,Y,Yes,13,Excellent,High,80,1,10,3,Better,7,7,1,7
362,21,No,Non-Travel,895,Sales,9,College,Medical,1,484,Low,Male,39,High,1,Sales Representative,Very High,Single,2610,2851,1,Y,No,24,Outstanding,High,80,0,3,3,Good,3,2,2,2
363,33,Yes,Travel_Rarely,350,Sales,5,Bachelor,Marketing,1,485,Very High,Female,34,High,1,Sales Representative,High,Single,2851,9150,1,Y,Yes,13,Excellent,Medium,80,0,1,2,Better,1,0,0,0
364,37,No,Travel_Rarely,921,Research & Development,10,Bachelor,Medical,1,486,High,Female,98,High,1,Laboratory Technician,Low,Married,3452,17663,6,Y,No,20,Outstanding,Medium,80,1,17,3,Better,5,4,0,3
365,46,No,Non-Travel,1144,Research & Development,7,Master,Medical,1,487,High,Female,30,High,2,Manufacturing Director,High,Married,5258,16044,2,Y,No,14,Excellent,High,80,0,7,2,Best,1,0,0,0
367,50,No,Travel_Rarely,1046,Research & Development,10,Bachelor,Technical Degree,1,491,Very High,Male,100,Medium,3,Healthcare Representative,Very High,Single,10496,2755,6,Y,No,15,Excellent,Very High,80,0,20,2,Better,4,3,1,3
373,27,No,Travel_Rarely,1469,Research & Development,1,College,Medical,1,497,Very High,Male,82,High,1,Laboratory Technician,Medium,Divorced,3816,17881,1,Y,No,11,Excellent,Medium,80,1,5,2,Better,5,2,0,4
374,28,No,Travel_Rarely,304,Sales,9,Master,Life Sciences,1,498,Medium,Male,92,High,2,Sales Executive,Very High,Single,5253,20750,1,Y,No,16,Excellent,Very High,80,0,7,1,Better,7,5,0,7
376,51,No,Travel_Rarely,1178,Sales,14,College,Life Sciences,1,500,High,Female,87,High,2,Sales Executive,Very High,Married,4936,14862,4,Y,No,11,Excellent,High,80,1,18,2,Good,7,7,0,7
377,36,No,Travel_Rarely,329,Research & Development,2,Bachelor,Life Sciences,1,501,Very High,Female,96,High,1,Research Scientist,High,Married,2543,11868,4,Y,No,13,Excellent,Medium,80,1,6,3,Better,2,2,2,2
378,34,Yes,Non-Travel,1362,Sales,19,Bachelor,Marketing,1,502,Low,Male,67,Very High,2,Sales Executive,Very High,Single,5304,4652,8,Y,Yes,13,Excellent,Medium,80,0,9,3,Good,5,2,0,4
380,24,No,Travel_Rarely,1371,Sales,10,Master,Marketing,1,507,Very High,Female,77,High,2,Sales Executive,High,Divorced,4260,5915,1,Y,Yes,12,Excellent,Very High,80,1,5,2,Best,5,2,0,3
381,30,No,Travel_Rarely,202,Sales,2,Below College,Technical Degree,1,508,High,Male,72,High,1,Sales Representative,Medium,Married,2476,17434,1,Y,No,18,Excellent,Low,80,1,1,3,Better,1,0,0,0
382,26,Yes,Travel_Frequently,575,Research & Development,3,Below College,Technical Degree,1,510,High,Male,73,High,1,Research Scientist,Low,Single,3102,6582,0,Y,No,22,Outstanding,High,80,0,7,2,Better,6,4,0,4
383,22,No,Travel_Rarely,253,Research & Development,11,Bachelor,Medical,1,511,Low,Female,43,High,1,Research Scientist,Medium,Married,2244,24440,1,Y,No,13,Excellent,Very High,80,1,2,1,Better,2,1,1,2
384,36,No,Travel_Rarely,164,Sales,2,College,Medical,1,513,Medium,Male,61,Medium,3,Sales Executive,High,Married,7596,3809,1,Y,No,13,Excellent,Medium,80,2,10,2,Better,10,9,9,0
389,37,No,Travel_Rarely,1305,Research & Development,10,Master,Life Sciences,1,518,High,Male,49,High,2,Manufacturing Director,Medium,Single,4197,21123,2,Y,Yes,12,Excellent,Very High,80,0,18,2,Good,1,0,0,1
391,40,No,Travel_Rarely,555,Research & Development,2,Bachelor,Medical,1,521,Medium,Female,78,Medium,2,Laboratory Technician,High,Married,3448,13436,6,Y,No,22,Outstanding,Medium,80,1,20,3,Better,1,0,0,0
395,43,No,Travel_Frequently,313,Research & Development,21,Bachelor,Medical,1,525,Very High,Male,61,High,1,Laboratory Technician,Very High,Married,2258,15238,7,Y,No,20,Outstanding,Low,80,1,8,1,Better,3,2,1,2
396,43,No,Travel_Rarely,1473,Research & Development,8,Master,Other,1,526,High,Female,74,High,2,Healthcare Representative,High,Divorced,4522,2227,4,Y,Yes,14,Excellent,Very High,80,0,8,3,Better,5,2,0,2
397,25,No,Travel_Rarely,891,Sales,4,College,Life Sciences,1,527,Medium,Female,99,Medium,2,Sales Executive,Very High,Single,4487,12090,1,Y,Yes,11,Excellent,Medium,80,0,5,3,Better,5,4,1,3
398,37,No,Non-Travel,1063,Research & Development,25,Doctor,Medical,1,529,Medium,Female,72,High,2,Research Scientist,High,Married,4449,23866,3,Y,Yes,15,Excellent,Low,80,2,15,2,Better,13,11,10,7
399,31,No,Travel_Rarely,329,Research & Development,1,College,Life Sciences,1,530,Very High,Male,98,Medium,1,Laboratory Technician,Low,Married,2218,16193,1,Y,No,12,Excellent,High,80,1,4,3,Better,4,2,3,2
403,41,No,Travel_Rarely,645,Sales,1,Bachelor,Marketing,1,534,Medium,Male,49,Very High,3,Sales Executive,Low,Married,8392,19566,1,Y,No,16,Excellent,High,80,1,10,2,Better,10,7,0,7
404,28,No,Travel_Rarely,1300,Research & Development,17,College,Medical,1,536,High,Male,79,High,2,Laboratory Technician,Low,Divorced,4558,13535,1,Y,No,12,Excellent,Very High,80,1,10,2,Better,10,0,1,8
407,45,No,Travel_Rarely,192,Research & Development,10,College,Life Sciences,1,544,Low,Male,69,High,1,Research Scientist,Very High,Married,2654,9655,3,Y,No,21,Outstanding,Very High,80,2,8,3,Good,2,2,0,2
409,42,No,Travel_Frequently,532,Research & Development,29,College,Life Sciences,1,547,Low,Female,92,High,2,Research Scientist,High,Divorced,4556,12932,2,Y,No,11,Excellent,Medium,80,1,19,3,Better,5,4,0,2
410,30,No,Travel_Rarely,317,Research & Development,2,Bachelor,Life Sciences,1,548,High,Female,43,Low,2,Manufacturing Director,Very High,Single,6091,24793,2,Y,No,20,Outstanding,High,80,0,11,2,Better,5,4,0,2
414,24,Yes,Travel_Rarely,1448,Sales,1,Below College,Technical Degree,1,554,Low,Female,62,High,1,Sales Representative,Medium,Single,3202,21972,1,Y,Yes,16,Excellent,Medium,80,0,6,4,Better,5,3,1,4
415,34,Yes,Travel_Frequently,296,Sales,6,College,Marketing,1,555,Very High,Female,33,Low,1,Sales Representative,High,Divorced,2351,12253,0,Y,No,16,Excellent,Very High,80,1,3,3,Good,2,2,1,0
